Title,City,State,Value,Status,BidDate,Uses,HasHotel,HasElderly,Lat,Lng
Anduril Industries Arsenal 1,Ashville,OH,1000000000,Conceptual,,Manufacturing,FALSE,FALSE,39.6878,-82.9932
Cuyahoga Riverfront,Cleveland,OH,3500000000,Design,,"Multi-Residential, Office, Restaurant, Retail",FALSE,FALSE,41.4993,-81.6944
QTS Data Centers Miller Avenue / New Albany,New Albany,OH,1900000000,Conceptual,,Data Centers,FALSE,FALSE,40.0822,-82.8101
Cologix Data Campus / Johnstown,Johnstown,OH,7000000000,Design,,Data Centers,FALSE,FALSE,40.1364,-82.7151
Richmond Town Square / Richmond Heights,Richmond Heights,OH,250000000,Award,,"Multi-Residential, Retail",FALSE,FALSE,41.5617,-81.497
The Pike Mixed-Use,Miamisburg,OH,267375000,Pre-Construction/Negotiated,,"Multi-Residential, Office, Manufacturing, Restaurant, Retail, Roads / Highways, Sidewalks / Parking Lot, Water / Sewer, Service Station / Car Wash, Clubhouse / Community Centers",FALSE,FALSE,39.6143,-84.2285
Ohio State Wexner Medical Center Inpatient Hospital,Columbus,OH,1790000000,Under Construction,,"Medical, Educational",FALSE,FALSE,39.995,-83.0196
First Flight Commerce Center Business Park,Miamisburg,OH,146000000,Under Construction,,Office,FALSE,FALSE,39.6149,-84.2081
Vantage Data Center Expansion - Silicon Heartland Innovation Park,New Albany,OH,2250000000,Under Construction,,Data Centers,FALSE,FALSE,40.1041,-82.7447
Airpark Logistics 237 / Business Park,Cincinnati,OH,100000000,Under Construction,,Warehouse / Distribution,FALSE,FALSE,39.1894,-84.5806
QTS Data Centers / New Albany,New Albany,OH,1500000000,Under Construction,,Data Centers,FALSE,FALSE,40.0634,-82.7547
Hayes Avenue Industrial Renovation,Sandusky,OH,19300000,Under Construction,,"Manufacturing, Water / Sewer",FALSE,FALSE,41.4308,-82.7171
Amazon Web Services Data Center Campus - New Albany International Business Park / New Albany,Jersey Township,OH,1800000000,Under Construction,,"Office, Data Centers",FALSE,FALSE,40.1162,-82.7525
QTS Data Centers Babbitt Rd/ New Albany,New Albany,OH,1000000000,Conceptual,,Data Centers,FALSE,FALSE,40.0745,-82.7705
New Passenger Terminal at John Glenn Columbus International Airport,Columbus,OH,2000000000,Under Construction,,Transportation Terminals,FALSE,FALSE,39.998,-82.8843
Kimberly-Clark Manufacturing Facility / Warren,Warren,OH,800000000,Under Construction,,Manufacturing,FALSE,FALSE,41.2291,-80.8142
Facebook / Meta - Data Center Expansion / New Albany,New Albany,OH,750000000,Under Construction,,Data Centers,FALSE,FALSE,40.0666,-82.7522
MetalX Aluminum Recycling Facilities / Defiance,Defiance,OH,253000000,Conceptual,,Manufacturing,FALSE,FALSE,41.2845,-84.3558
AeroHub,Cincinnati,OH,150000000,Conceptual,,Manufacturing,FALSE,FALSE,39.2559,-84.4501
Rickenbacker Industrial Center - Phase 1,Lockbourne,OH,100000000,Under Construction,,"Warehouse / Distribution, Industrial",FALSE,FALSE,39.8421,-82.9606
Weston Town Centre,Columbus,OH,50000000,Design,,"Office, Restaurant, Retail",FALSE,FALSE,39.9612,-82.9988
Beachwood Place Mall Repositioning,Beachwood,OH,30000000,Conceptual,,"Multi-Residential, Retail",FALSE,FALSE,41.4985,-81.4941
