Rooms,Brand,Extended Stay,Parent Company,Property Name,Market Name,Submarket Name,Hotel Class,Scale,Operation Type,Constr Status,Operational Status,Expansion Rooms,Expansion Status Month,Expansion Status Year,Expansion Status,Property Address,City,State,Zip,Year Built,Year Renovated,Hotel Open Date,Data Participation,Mtg Rooms,Total Mtg Space,Max Contig Mtg Space,Hotel Location Type,Secondary Type,All-Inclusive,All-Suites,Primary Corridors,Number Of Stories,Number Of Parking Spaces,Parking Spaces/Room,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Segment,Lat,Long
115,Red Roof PLUS+,,"Red Roof Franchising, LLC",Red Roof PLUS+ Columbus-Ohio State University OSU,Columbus,Columbus Ohio State University,Economy,Economy,Franchise,Existing,Open,,,,,441 Ackerman Rd,Columbus,OH,43202,1984,2014,01/01/1985,Monthly,1,120,120,Suburban,Hotel,No,No,Exterior,3,121,1.052173913,06/17/2008,39049C0169K,39049C,0169K,No,100-year and 500-year Floodplain,Economy,40.01811,-83.026771
121,Red Roof Inn,,"Red Roof Franchising, LLC",Red Roof Inn Akron,Ohio Area,Akron,Economy,Economy,Franchise,Existing,Temporarily Closed,,,,,2939 S Arlington Rd,Akron,OH,44312,1989,2005,03/01/1989,Monthly,,,,Interstate,Hotel,No,No,Exterior,3,149,1.231404959,,,,,No,,Economy,41.083064,-81.518485
107,Red Roof Inn,,"Red Roof Franchising, LLC",Red Roof Inn Dayton South Miamisburg,"Dayton/Springfield, OH",Dayton South,Economy,Economy,Franchise,Existing,Open,,,,,222 Byers Rd,Miamisburg,OH,45342,1974,2005,07/01/1974,Monthly,,,,Suburban,Hotel,No,No,Exterior,2,119,1.112149533,01/06/2005,39113C0265E,39113C,0265E,No,100-year and 500-year Floodplain,Economy,39.637979,-84.234445
50,,,,Lake Erie Lodge,Ohio Area,Ohio North Area,Economy,Independent,Independent,Existing,Open,,,,,10530 Corduroy Rd,Curtice,OH,43412,1986,2020,06/01/1986,,,,,Suburban,Hotel,No,No,Exterior,2,64,1.28,02/22/2024,39095C0145F,39095C,0145F,Yes,100-year Floodplain,Economy,41.660514,-83.294014
94,Birch Hill Suites,Extended Stay,Birch Hill Suites Extended Stay Hotels,Birch Hill Suites Cincinnati Blue Ash,"Cincinnati, OH",Sharonville/Blue Ash,Economy,Economy,Franchise,Existing,Open,,,,,4650 Cornell Rd,Blue Ash,OH,45241,1999,,06/01/1999,Monthly,,,,Suburban,Hotel,No,Yes,Interior,3,100,1.063829787,02/17/2010,39061C0094E,39061C,0094E,No,100-year and 500-year Floodplain,Economy,39.270573,-84.378038
31,,,,Colonial Motel,Ohio Area,Lima/Findlay,Economy,Independent,Independent,Existing,Open,,,,,1940 Elida Rd,Lima,OH,45805,1900,,06/01/1975,,,,,Small Metro/Town,Hotel,No,No,Exterior,1,,,06/20/2024,39003C0194E,39003C,0194E,No,100-year and 500-year Floodplain,Economy,40.760113,-84.143518
137,Days Inn,0,Wyndham Hotels & Resorts,Days Inn by Wyndham St Clairsville,Ohio Area,Ohio South Area,Economy,Economy,Franchise,Existing,Open,,,,,52601 Holiday Dr,Saint Clairsville,OH,43950-9313,1965,,06/01/1964,Monthly,3,2148,2148,Interstate,Hotel,No,No,Exterior,2,167,1.218978102,04/05/2006,39013C0204E,39013C,0204E,No,100-year and 500-year Floodplain,Economy,40.065847,-80.839016
32,,,,Millersburg Hotel,Ohio Area,Ohio North Area,Economy,Independent,Independent,Existing,Open,,,,,35 W Jackson St,Millersburg,OH,44654-1387,1847,,05/01/1990,,3,1900,1600,Small Metro/Town,Hotel,No,No,Interior,3,,,12/02/2008,39075C0191D,39075C,0191D,No,100-year and 500-year Floodplain,Economy,40.553835,-81.917789
89,Econo Lodge,0,"Choice Hotels International, Inc.",Econo Lodge Wooster,Ohio Area,Ohio North Area,Economy,Economy,Franchise,Existing,Open,,,,,2137 E Lincoln Way,Wooster,OH,44691,1985,,01/01/1988,Monthly,1,450,450,Small Metro/Town,Hotel,No,No,Exterior,2,123,1.382022472,08/18/2009,39169C0216E,39169C,0216E,No,100-year and 500-year Floodplain,Economy,40.794908,-81.906466
76,Days Inn,0,Wyndham Hotels & Resorts,Days Inn & Suites by Wyndham Caldwell,Ohio Area,Ohio South Area,Economy,Economy,Franchise,Existing,Open,,,,,43945 Marietta Rd,Caldwell,OH,43724,2014,,05/21/2014,Monthly,1,400,400,Interstate,Hotel,No,No,Interior,3,,,09/19/2012,39115C0225D,39121C,0225D,No,100-year and 500-year Floodplain,Economy,39.734527,-81.521718
