Market,Submarket,Tier,Chain Class,Chain Scale,Brand,Company,Property,Rooms,Lat,Lng
"Sandusky, OH",,Lower Tier,Economy,Independent,Independent,Independent,Best Budget Inn Sandusky,54,41.3976,-82.6524
"Cleveland, OH",Cleveland Southeast,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Cleveland Solon,97,41.3943,-81.4648
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,St Paul Hotel,12,40.7967,-81.9399
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upper Upscale,Independent,Independent,Independent,Symphony Hotel & Vivaldi's Restaurant,9,39.1102,-84.5192
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Independent,Independent,Independent,Market Street Inn,6,40.8017,-81.9413
"Columbus, OH",Newark,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Heath - Newark,88,40.0137,-82.4576
"Cincinnati, OH",CVG Airport,Lower Tier,Economy,Independent,Independent,Independent,Stay Lodge Of Florence,141,38.9998,-84.6498
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites Marysville Columbus - Northwest,84,40.2396,-83.3492
"Columbus, OH",Newark,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton New Albany Columbus,107,40.0901,-82.7908
"Cleveland, OH",Cleveland Heights,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Painesville - Concord by IHG,84,41.661,-81.2387
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Independent,Independent,Independent,Courtesy Budget Inn,60,40.5891,-83.0936
"Akron, OH",Twinsburg/Streetsboro,Upper Tier,Upscale,Independent,Independent,Independent,Geauga Lake Inn,145,41.3397,-81.3657
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Victorian Tudor Inn,5,41.2755,-82.8472
"Cincinnati, OH",Cincinnati West,Upper Tier,Upscale,Independent,Independent,Independent,Marcum Conference Center & Inn,92,39.5087,-84.7345
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,Knights Inn,32,40.8919,-83.8639
"Ohio State Area, OH",Lima,Lower Tier,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,Knights Inn,62,40.7702,-84.1661
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Independent,Independent,Independent,The Mount Vernon Inn,15,40.3942,-82.4932
"Cleveland, OH",Strongsville/Medina,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites,84,41.2356,-81.8087
"Cleveland, OH",Avon/I90 West,Lower Tier,Economy,Independent,Independent,Independent,Economy Inn and Suites,57,41.4267,-81.8924
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Independent,Independent,Independent,Hotel Lakeside,79,41.5451,-82.7503
"Sandusky, OH",,Upper Tier,Upscale,Independent,Independent,Independent,Hotel Kilbourne Downtown Sandusky,9,41.4569,-82.7136
"Ohio State Area, OH",Ohio South,Mid Tier,Midscale,Midscale,Magnuson,Magnuson Companies LLC,Royalton Inn & Suites Wilmington,59,39.4532,-83.8026
"Cleveland, OH",Avon/I90 West,Mid Tier,Midscale,Independent,Independent,Independent,Lorain Studio Suites,248,41.3939,-82.1152
"Columbus, OH",Newark,Upper Tier,Upscale,Independent,Independent,Independent,Small Batch Lodging,3,40.0686,-82.5324
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Independent,Independent,Independent,The Stables Inn and Suites,21,40.8999,-80.8528
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Independent,Independent,Independent,Romer's Westlake Hotel Villas,29,40.5339,-84.5756
"Sandusky, OH",,Mid Tier,Upper Midscale,Independent,Independent,Independent,Sandusky Inn,26,41.432,-82.6879
"Dayton, OH",Downtown/DAY Airport,Mid Tier,Midscale,Independent,Independent,Independent,Crossroads Motel,74,39.8934,-84.1838
"Dayton, OH",Downtown/DAY Airport,Mid Tier,Upper Midscale,Independent,Independent,Independent,Parkview Inn,60,39.6876,-84.2218
"Toledo, OH",Toledo West,Lower Tier,Economy,Independent,Independent,Independent,Toledo Budget Inn,101,41.5957,-83.6655
"Cincinnati, OH",Franklin,Lower Tier,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,Knights Inn,65,39.5655,-84.2697
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Economy,HomeTowne Studios by Red Roof,Red Roof Group,HomeTowne Studios by Red Roof,130,39.2815,-84.444
"Cincinnati, OH",CVG Airport,Mid Tier,Midscale,Independent,Independent,Independent,Airport Inn,122,39.0625,-84.6599
"Akron, OH",Twinsburg/Streetsboro,Upper Tier,Upper Upscale,Independent,Independent,Independent,The Inn at Solaire,4,41.2418,-81.4418
"Cleveland, OH",Downtown Cleveland,Mid Tier,Upper Midscale,Independent,Independent,Independent,Stone Gables Bed and Breakfast,5,41.4863,-81.7143
"Ohio State Area, OH",Findlay,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Findlay North by IHG,112,41.0632,-83.6704
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Atwood Lake Resort,104,40.5465,-81.2407
"Ohio State Area, OH",Ohio South,Mid Tier,Midscale,Independent,Independent,Independent,William Ann Motel,56,38.8156,-82.1948
"Cincinnati, OH",Cincinnati West,Mid Tier,Upper Midscale,Independent,Independent,Independent,Six Acres Bed and Breakfast,10,39.1875,-84.5452
"Cleveland, OH",Strongsville/Medina,Lower Tier,Economy,Economy,Howard Johnson,Wyndham Hotels & Resorts,Howard Johnson Express Inn - Brunswick,25,41.2365,-81.8009
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Independent,Independent,Independent,Bellevue Hotel & Suites,75,41.2721,-82.8247
"Youngstown, OH",,Mid Tier,Midscale,Independent,Independent,Independent,Hotel California,102,41.1253,-80.7668
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Independent,Independent,Independent,Rocking Horse Inn,11,41.1555,-81.2456
"Youngstown, OH",,Mid Tier,Upper Midscale,Independent,Independent,Independent,Julia's Bed & Breakfast,6,41.1567,-80.5941
"Cincinnati, OH",Cincinnati West,Lower Tier,Economy,Independent,Independent,Independent,Red Carpet Inn,50,39.2269,-84.5885
"Dayton, OH",Tipp City/Troy,Mid Tier,Midscale,Independent,Independent,Independent,Royal Inn,81,40.0246,-84.2281
"Cleveland, OH",Cleveland Heights,Upper Tier,Upper Upscale,Independent,Independent,Independent,Steele Mansion Inn & Gathering Hub,16,41.7199,-81.2524
"Akron, OH",Akron West,Lower Tier,Economy,Economy,OYO,Oravel Stays,Hotel Wadsworth OH I-76,10,41.0458,-81.7316
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Island Club Rentals,40,41.6341,-82.8375
"Dayton, OH",Springfield,Lower Tier,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,Knights Inn,39,39.9257,-83.8458
"Ohio State Area, OH",Ohio South,Upper Tier,Upper Upscale,Independent,Independent,Independent,Brown's Motel,49,38.6586,-83.7662
"Dayton, OH",Dayton South/Miamisburg,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Xenia Dayton,88,39.6865,-83.9652
"Cincinnati, OH",CVG Airport,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Cincinnati Airport South Florence,97,39.012,-84.6539
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Independent,Independent,Independent,Beverly Hills Inn LA,97,38.6909,-83.7407
"Cleveland, OH",Cleveland Southeast,Upper Tier,Upper Upscale,Independent,Independent,Independent,Inn of Chagrin,15,41.4317,-81.3936
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Independent,Independent,Independent,Roscoe Village Inn,50,40.2769,-81.8769
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Salt Fork Lodge and Conference Center,201,40.1059,-81.529
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Put-in-Bay Victory Station,12,41.6515,-82.8203
"Dayton, OH",Downtown/DAY Airport,Lower Tier,Economy,Independent,Independent,Independent,Brookville Inn,61,39.8448,-84.4263
"Dayton, OH",Downtown/DAY Airport,Mid Tier,Midscale,Independent,Independent,Independent,Travelers Motel North,38,39.7906,-84.1903
"Ohio State Area, OH",Ohio South,Upper Tier,Upscale,Independent,Independent,Independent,Regency Inn,46,38.829,-82.163
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Independent,Independent,Independent,Landoll's Mohican Castle - Luxury Hotel in Central Ohio,17,40.571,-82.234
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Knights Inn,Sonesta International Hotels Corp,Knights Inn,44,40.5012,-82.728
"Columbus, OH",Worthington/Westerville,Mid Tier,Upper Midscale,Independent,Independent,Independent,Columbus Inn and Suites,90,40.0891,-82.9885
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Bay Lodging Hotel,49,41.6516,-82.8241
"Ohio State Area, OH",Lima,Lower Tier,Economy,Economy,Americas Best Value Inn,Sonesta International Hotels Corp,America's Best Value,100,40.7881,-84.0388
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Independent,Independent,Independent,The Island House Hotel,39,41.5131,-82.9414
"Columbus, OH",Downtown Columbus,Mid Tier,Midscale,Independent,Independent,Independent,Economy Inn,71,39.9598,-83.0183
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Independent,Independent,Independent,Lodging On the Square,23,40.562,-81.7976
"Cleveland, OH",Downtown Cleveland,Mid Tier,Upper Midscale,Independent,Independent,Independent,Bridgestreet at the Bingham,15,41.4993,-81.701
"Toledo, OH",Toledo East,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Rossford, OH",45,41.5863,-83.5663
"Cincinnati, OH",Cincinnati West,Mid Tier,Midscale,Independent,Independent,Independent,Marcum Inn,52,39.5134,-84.731
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Independent,Independent,Independent,Hillside Villa Ohio,7,40.566,-81.797
"Dayton, OH",Downtown/DAY Airport,Upper Tier,Upscale,Independent,Independent,Independent,Inn Port Lodging,5,39.7567,-84.1855
"Ohio State Area, OH",Ohio South,Upper Tier,Upper Upscale,Independent,Independent,Independent,Hocking Hills Lodge & Conference Center,121,39.4333,-82.5492
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Independent,Independent,Independent,Napolean Inn & Suites,81,41.41,-84.1329
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Independent,Independent,Independent,Economy Inn & Suites,22,41.8763,-80.765
"Cincinnati, OH",Downtown Cincinnati,Mid Tier,Upper Midscale,Independent,Independent,Independent,Airport USA Hotel,214,39.0525,-84.5523
"Ohio State Area, OH",Ohio South,Lower Tier,Economy,Economy,Country Hearth Inn,Sonesta International Hotels Corp,Country Hearth Inn,40,39.5521,-83.4227
"Columbus, OH",Newark,Upper Tier,Luxury,Independent,Independent,Independent,The Welsh Hills Inn,5,40.1092,-82.4994
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upscale,Independent,Independent,Independent,Hannaford Suites Hotel,79,39.0961,-84.4861
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Chapman House,4,41.657,-82.8094
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Cincinnati Northeast/Mason,106,39.3557,-84.2623
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Independent,Independent,Independent,Spread Eagle Tavern & Inn,5,40.7537,-80.9348
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Independent,Independent,Independent,zincks inn,46,40.56,-81.7909
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,Drury Inn & Suites,Drury Inns,Drury Inn & Suites Cincinnati Northeast Mason,187,39.2936,-84.3178
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites,80,40.7741,-81.9275
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,The Lodge at Geneva-on-the-Lake,109,41.8577,-80.9656
"Cleveland, OH",Downtown Cleveland,Lower Tier,Economy,Independent,Independent,Independent,Town House Motel,50,41.5407,-81.5712
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,Sleep Inn,"Choice Hotels International, Inc.",Sleep Inn & Suites Mt. Hope near Auction & Event Center,62,40.6238,-81.7887
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Independent,Independent,Independent,The Pines Of Dresden Bed And Breakfast,5,40.1243,-82.017
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Mason Kings Island,100,39.3597,-84.2656
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Marysville,100,40.2341,-83.3473
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Independent,Independent,Independent,Fawcett Center Hotel,70,40.0107,-83.0209
"Columbus, OH",Columbus West,Mid Tier,Midscale,Independent,Independent,Independent,Royal Inn Motel,22,40.0014,-83.1234
"Cleveland, OH",Avon/I90 West,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cleveland Elyria,104,41.3913,-82.1132
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites,84,40.2387,-83.3503
"Dayton, OH",Downtown/DAY Airport,Mid Tier,Upper Midscale,Independent,Independent,Independent,Dayton Airport Hotel,127,39.895,-84.2267
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Independent,Independent,Independent,Budget Inn,75,39.3495,-84.5412
"Columbus, OH",Downtown Columbus,Upper Tier,Upper Upscale,Upper Upscale,Canopy by Hilton,Hilton Worldwide,Canopy By Hilton Columbus Downtown Short North,167,39.9689,-82.9998
"Cincinnati, OH",CVG Airport,Mid Tier,Upper Midscale,Independent,Independent,Independent,Ivy Lodge,137,38.9185,-84.6318
"Dayton, OH",Dayton South/Miamisburg,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Dayton-Centerville,96,39.6658,-84.1078
"Cleveland, OH",Strongsville/Medina,Mid Tier,Midscale,Midscale,Candlewood Suites,IHG Hotels & Resorts,Candlewood Suites Cleveland South - Independence by IHG,91,41.3973,-81.6487
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Independent,Independent,Independent,Kings Luxury Inn,95,39.296,-84.3178
"Columbus, OH",Columbus South,Upper Tier,Upper Upscale,Independent,Independent,Independent,BrewDog DogHouse Columbus Hotel and Brewery,32,39.847,-82.8263
"Toledo, OH",Toledo West,Upper Tier,Upscale,Independent,Independent,Independent,Zoeva Tower,150,41.6494,-83.5349
"Ohio State Area, OH",Ohio South,Mid Tier,Midscale,Midscale,Magnuson,Magnuson Companies LLC,Hotel by the River,47,39.4369,-81.464
"Columbus, OH",CMH Airport,Mid Tier,Upper Midscale,Independent,Independent,Independent,Brookside Motel,32,39.9567,-82.9177
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Independent,Independent,Independent,Berlin Encore Hotel & Suites,81,40.5511,-81.7768
"Cincinnati, OH",Cincinnati North,Lower Tier,Economy,Independent,Independent,Independent,Tri County Inn,106,39.3058,-84.4647
"Ohio State Area, OH",Mansfield/Ashland,Lower Tier,Economy,Economy,Motel 6,G6 Hospitality LLC,"Motel 6 Bellville, OH - Mid-Ohio",48,40.6487,-82.5413
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Bowling Green,101,41.3735,-83.6206
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Springdale Cincinnati,108,39.297,-84.4819
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Independent,Independent,Independent,M & D Suburban Inn,20,41.4667,-84.5591
"Sandusky, OH",,Lower Tier,Economy,Independent,Independent,Independent,Motel Boutique by Wolf Inn,58,41.3191,-82.6138
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Independent,Independent,Independent,Top Inn,50,40.3644,-83.7588
"Cincinnati, OH",Downtown Cincinnati,Mid Tier,Midscale,Independent,Independent,Independent,NATIONAL DREXEL AT OAKLEY,200,39.147,-84.429
"Ohio State Area, OH",I70 Corridor,Upper Tier,Upscale,Independent,Independent,Independent,Salt Fork Lodge & Conference Center,202,40.0776,-81.4691
"Cleveland, OH",Downtown Cleveland,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Cleveland Midtown,114,41.5045,-81.6418
